name,screen_name,user_id,female,age,term,party,government,constituency,region,country,constituency_type,electorate,turnout,majority
Gavin Robinson,GRobinsonDUP,249845912,0,37,3,DUP,0,Belfast East,Northern Ireland,Northern Ireland,Borough,66245,64.07276021,4.285546001
Gavin Williamson,GavinWilliamson,368314502,0,45,4,Conservative,1,South Staffordshire,West Midlands,England,County,73668,67.87886192,56.49435056
Geoffrey Clifton-Brown,,,0,68,8,Conservative,1,The Cotswolds,South West,England,County,81939,74.66041812,33.04236956
Geoffrey Cox,Geoffrey_Cox,103879974,0,61,5,Conservative,1,Torridge and West Devon,South West,England,County,80403,74.28827283,41.84162063
George Eustice,,,0,50,4,Conservative,1,Camborne and Redruth,South West,England,County,70250,71.69679715,17.2732146
George Freeman,GeorgeFreemanMP,101712079,0,54,4,Conservative,1,Mid Norfolk,East,England,County,82203,68.35030352,40.21286441
George Howarth,,,0,72,10,Labour,0,Knowsley,North West,England,Borough,84082,65.33859804,72.70377516
Geraint Davies,GeraintDaviesMP,144791011,0,61,7,Labour,0,Swansea West,Wales,Wales,Borough,57078,62.7737482,22.65140943
Gerald Jones,GeraldJonesLAB,496060628,0,51,3,Labour,0,Merthyr Tydfil and Rhymney,Wales,Wales,County,56322,57.25293846,32.8909012
Giles Watling,GilesWatling,37891233,0,68,2,Conservative,1,Clacton,East,England,County,70930,61.33652897,56.7783754
Gill Furniss,GillFurnissMP,7.01E+17,1,64,3,Labour,0,"Sheffield, Brightside and Hillsborough",Yorkshire and The Humber,England,Borough,69333,57.11565921,30.99494949
Gillian Keegan,GillianKeegan,2986235404,1,61,2,Conservative,1,Chichester,South East,England,County,85499,71.63007754,35.08972454
Gordon Henderson,,,0,73,4,Conservative,1,Sittingbourne and Sheppey,South East,England,County,83917,61.24384809,47.63007355
Graham Brady,SirGrahamBrady,1.14E+18,0,54,7,Conservative,1,Altrincham and Sale West,North West,England,Borough,73107,74.90801154,11.21012362
Graham Stringer,,,0,71,7,Labour,0,Blackley and Broughton,North West,England,Borough,73372,52.63315706,37.29349008
Graham Stuart,grahamstuart,14395178,0,59,5,Conservative,1,Beverley and Holderness,Yorkshire and The Humber,England,County,79696,67.18279462,38.19057936
Grahame Morris,grahamemorris,58821256,0,60,4,Labour,0,Easington,North East,England,County,61182,56.52479487,19.02958101
Grant Shapps,grantshapps,14104027,0,53,5,Conservative,1,Welwyn Hatfield,East,England,County,74892,69.50408588,21.04585711
Greg Clark,GregClarkMP,224655400,0,54,5,Conservative,1,Tunbridge Wells,South East,England,County,74823,73.0390388,26.79780421
Greg Hands,GregHands,125270251,0,56,5,Conservative,1,Chelsea and Fulham,London,England,Borough,67110,69.76754582,24.00845774
Greg Knight,GregKnight,15453062,0,72,10,Conservative,1,East Yorkshire,Yorkshire and The Humber,England,County,80923,65.20890229,43.18255036
Greg Smith,gregsmith_uk,195752750,0,42,1,Conservative,1,Buckingham,South East,England,County,83146,76.32116999,32.1645813
Gregory Campbell,,,0,68,6,DUP,0,East Londonderry,Northern Ireland,Northern Ireland,County,69246,56.757069,24.44404865
Guy Opperman,GuyOpperman,143386976,0,56,4,Conservative,1,Hexham,North East,England,County,61324,75.25601722,22.85807151
Hannah Bardell,HannahB4LiviMP,2981900049,1,38,3,SNP,0,Livingston,Scotland,Scotland,County,82285,66.34502036,24.60983294
Harriet Harman,HarrietHarman,19977759,1,71,11,Labour,0,Camberwell and Peckham,London,England,Borough,88971,63.49484664,59.79607732
Harriett Baldwin,hbaldwin,19177609,1,61,4,Conservative,1,West Worcestershire,West Midlands,England,County,76241,75.45808686,42.5847384
Heather Wheeler,HeatherWheeler,21744895,1,62,4,Conservative,1,South Derbyshire,East Midlands,England,County,79331,67.28895388,36.2207527
Helen Grant,HelenGrantMP,24727170,1,60,4,Conservative,1,Maidstone and The Weald,South East,England,County,76109,67.90261336,42.12848297
Helen Hayes,helenhayes_,261886643,1,47,3,Labour,0,Dulwich and West Norwood,London,England,Borough,80331,69.43521181,48.96195633
Helen Whately,Helen_Whately,130280613,1,45,3,Conservative,1,Faversham and Mid Kent,South East,England,County,73403,68.65386973,43.60836608
Henry Smith,HenrySmithUK,873819098,0,52,4,Conservative,1,Crawley,South East,England,Borough,74207,67.24298247,16.75384276
Hilary Benn,hilarybennmp,408454349,0,68,7,Labour,0,Leeds Central,Yorkshire and The Humber,England,Borough,90971,54.17550648,39.09991072
Holly Lynch,HollyLynch5,382181117,1,35,3,Labour,0,Halifax,Yorkshire and The Humber,England,Borough,71887,64.62642759,5.529725774
Holly Mumby-Croft,,,1,121,1,Conservative,1,Scunthorpe,Yorkshire and The Humber,England,County,61955,60.93132112,17.08874172
Huw Merriman,HuwMerriman,2902930059,0,48,3,Conservative,1,Bexhill and Battle,South East,England,County,81963,72.09716579,44.09828575
Hywel Williams,HywelPlaidCymru,21188077,0,68,6,PC,0,Arfon,Wales,Wales,County,42215,68.87125429,9.5652473
Iain Duncan Smith,MPIainDS,1.13E+18,0,67,8,Conservative,1,Chingford and Woodford Green,London,England,County,65393,74.08132369,2.605069771
Iain Stewart,iainastewart,100260784,0,49,4,Conservative,1,Milton Keynes South,South East,England,Borough,96363,66.42279713,10.84881341
Ian Blackford,Ianblackford_MP,1325563478,0,60,3,SNP,0,"Ross, Skye and Lochaber",Scotland,Scotland,County,54230,73.51834778,23.6850686
Ian Byrne,IanByrneMP,570352145,0,121,1,Labour,0,"Liverpool, West Derby",North West,England,Borough,65640,67.01553931,68.16249517
Ian Lavery,IanLaveryMP,300872531,0,58,4,Labour,0,Wansbeck,North East,England,County,63339,63.95585658,2.009430003
Ian Levy,,,0,121,1,Conservative,1,Blyth Valley,North East,England,Borough,64429,63.41709479,1.742578135
Ian Liddell-Grainger,,,0,62,6,Conservative,1,Bridgwater and West Somerset,South West,England,County,85327,67.56595216,42.3905502
Ian Mearns,IanMearnsMP,624746312,0,64,4,Labour,0,Gateshead,North East,England,Borough,64449,59.18633338,18.87534408
Ian Murray,IanMurrayMP,77981490,0,45,4,Labour,0,Edinburgh South,Scotland,Scotland,Borough,66188,75.13748716,22.30957935
Ian Paisley,,,0,55,4,DUP,0,North Antrim,Northern Ireland,Northern Ireland,County,77134,57.10970519,28.87789153
Imran Hussain,Imran_HussainMP,2979642791,0,43,3,Labour,0,Bradford East,Yorkshire and The Humber,England,Borough,73206,60.35570855,41.06463878
Imran Nasir Ahmad Khan,imranahmadkhan,48370685,0,48,1,Conservative,1,Wakefield,Yorkshire and The Humber,England,County,70192,64.14833599,7.457747574
Jack Brereton,,,0,30,2,Conservative,1,Stoke-On-Trent South,West Midlands,England,Borough,64491,61.41011924,28.45924654
Jack Dromey,JackDromeyMP,387054267,0,73,4,Labour,0,"Birmingham, Erdington",West Midlands,England,Borough,66148,53.25784604,10.22169236
Jack Lopresti,JackLopresti,1067829343,0,52,4,Conservative,1,Filton and Bradley Stoke,South West,England,County,74016,72.62213575,10.50379521
Jackie Doyle-Price,JackieDP,38671387,1,52,4,Conservative,1,Thurrock,East,England,Borough,79659,59.58774275,24.18943687
Jacob Rees-Mogg,Jacob_Rees_Mogg,8.86E+17,0,52,4,Conservative,1,North East Somerset,South West,England,County,73692,76.40992238,26.15791717
Jacob Young,JacobYoungMP,2391791419,0,28,1,Conservative,1,Redcar,North East,England,Borough,65864,62.00959553,8.635718133
Jake Berry,JakeBerry,217148014,0,43,4,Conservative,1,Rossendale and Darwen,North West,England,Borough,72770,67.09083413,19.50350252
James Brokenshire,JBrokenshire,92498317,0,53,5,Conservative,1,Old Bexley and Sidcup,London,England,Borough,66104,69.80666828,41.07053852
James Cartlidge,jc4southsuffolk,,0,47,3,Conservative,1,South Suffolk,East,England,County,76201,70.19461687,42.80693227
James Cleverly,JamesCleverly,14077382,0,52,3,Conservative,1,Braintree,East,England,County,75208,67.14578236,48.85839324
James Daly,JamesDalyMP,1430228162,0,121,1,Conservative,1,Bury North,North West,England,Borough,68802,68.08086974,0.224162593
James Davies,JamesDavies,22378075,0,41,3,Conservative,1,Vale of Clwyd,Wales,Wales,County,56649,65.69047997,4.909574611
James Duddridge,JamesDuddridge,124170781,0,50,5,Conservative,1,Rochford and Southend East,East,England,County,75624,61.0070877,26.62996359
James Gray,JGray,86192099,0,67,7,Conservative,1,North Wiltshire,South West,England,County,73280,74.72434498,32.1889039
James Grundy,,,0,121,1,Conservative,1,Leigh,North West,England,County,77417,60.68305411,4.182719939
James Heappey,JSHeappey,446633079,0,40,3,Conservative,1,Wells,South West,England,County,81898,75.24970085,16.21178685
James Morris,JamesMorris,155892458,0,54,4,Conservative,1,Halesowen and Rowley Regis,West Midlands,England,Borough,68300,61.99853587,28.51340182
James Murray,jamesmurray_ldn,175512020,0,38,1,Labour,0,Ealing North,London,England,Borough,74473,66.64294442,24.72043682
James Sunderland,JamesSunderl,1.18E+18,0,51,1,Conservative,1,Bracknell,South East,England,County,78978,68.81663248,36.48390064
James Wild,jamesowild,271868768,0,44,1,Conservative,1,North West Norfolk,East,England,County,72080,64.65316315,42.74923823
Jamie Hamilton Wallis,JamieWallisMP,4285605677,0,37,1,Conservative,1,Bridgend,Wales,Wales,County,63303,66.7203766,2.739369258
Jamie Stone,Jamie4North,8.69E+17,0,67,2,LibDem,0,"Caithness, Sutherland and Easter Ross",Scotland,Scotland,County,46930,67.02961858,0.648504307
Jane Hunt,JaneMHunt,36154400,1,55,1,Conservative,1,Loughborough,East Midlands,England,County,79764,68.49079785,13.12258608
Jane Stevenson,Jane_Stevenson_,9.12E+17,1,50,1,Conservative,1,Wolverhampton North East,West Midlands,England,Borough,61660,55.59682128,11.90163648
Janet Daby,JanetDaby,1114681081,1,51,2,Labour,0,Lewisham East,London,England,Borough,67857,66.04329693,37.95157871
Jason McCartney,JasonMcCartney,19619404,0,53,4,Conservative,1,Colne Valley,Yorkshire and The Humber,England,County,84174,72.34062775,8.38041122
Jeff Smith,JeffSmithetc,18951643,0,58,3,Labour,0,"Manchester, Withington",North West,England,Borough,76530,69.24735398,52.65591093
Jeffrey M. Donaldson,J_Donaldson_MP,277499481,0,59,7,DUP,0,Lagan Valley,Northern Ireland,Northern Ireland,County,75735,59.95246583,14.31340161
Jeremy Corbyn,jeremycorbyn,117777690,0,72,10,Independent,0,Islington North,London,England,Borough,75162,71.58537559,48.6720565
Jeremy Hunt,Jeremy_Hunt,112398730,0,55,5,Conservative,1,South West Surrey,South East,England,County,79096,76.28704359,14.61219755
Jeremy Quin,,,0,53,3,Conservative,1,Horsham,South East,England,County,86730,72.91825205,33.40659688
Jeremy Wright,,,0,49,5,Conservative,1,Kenilworth and Southam,West Midlands,England,County,68154,77.17375356,38.69612335
Jerome Mayhew,JeromeMayhew,370700221,0,51,1,Conservative,1,Broadland,East,England,County,78151,72.90629678,38.36811345
Jess Phillips,jessphillips,20000725,1,40,3,Labour,0,"Birmingham, Yardley",West Midlands,England,Borough,74704,57.12947098,24.97539716
Jesse Norman,Jesse_Norman,78702900,0,59,4,Conservative,1,Hereford and South Herefordshire,West Midlands,England,County,72085,68.87147118,39.65274141
Jessica Morden,jessicamordenmp,43312141,1,53,5,Labour,0,Newport East,Wales,Wales,County,58554,61.96331591,5.490325781
Jim McMahon,JimfromOldham,154661114,0,41,3,Labour,0,Oldham West and Royton,North West,England,Borough,72999,60.86932698,25.04163478
Jim Shannon,JimShannonMP,4104745522,0,66,4,DUP,0,Strangford,Northern Ireland,Northern Ireland,County,66928,56.00794884,18.86354542
Jo Churchill,Jochurchill4,,1,57,3,Conservative,1,Bury St Edmunds,East,England,County,89644,69.11449735,40.33119744
Jo Gideon,jogideon,67323615,1,69,1,Conservative,1,Stoke-on-Trent Central,West Midlands,England,Borough,55419,57.86824013,2.089179919
Jo Stevens,JoStevensLabour,1328897358,1,55,3,Labour,0,Cardiff Central,Wales,Wales,Borough,64037,65.30911817,41.07646693
Joanna Cherry,joannaccherry,2583270112,1,55,3,SNP,0,Edinburgh South West,Scotland,Scotland,Borough,73501,70.92556564,22.98440467
John Baron,,,0,62,6,Conservative,1,Basildon and Billericay,East,England,Borough,69906,63.12476754,46.25634518
John Cryer,JohnCryerMP,2979904613,0,57,7,Labour,0,Leyton and Wanstead,London,England,County,64852,68.69024857,46.71021618
John Finucane,johnfinucane,255277792,0,121,1,SF,0,Belfast North,Northern Ireland,Northern Ireland,Borough,72225,67.89477328,3.962314171
John Glen,JohnGlenUK,36664451,0,47,4,Conservative,1,Salisbury,South West,England,County,74556,72.06663448,36.73180718
John Hayes,,,0,63,7,Conservative,1,South Holland and The Deepings,East Midlands,England,County,75975,64.73050346,62.70562639
John Healey,JohnHealey_MP,376161322,0,61,7,Labour,0,Wentworth and Dearne,Yorkshire and The Humber,England,County,74536,55.75426639,5.209711962
John Howell,JHowellUK,993161678,0,66,5,Conservative,1,Henley,South East,England,County,76646,76.66283955,23.91633622
John Lamont,John2Win,130133607,0,45,2,Conservative,1,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,County,74518,71.31968115,9.686523915
John McDonnell,johnmcdonnellMP,77234984,0,70,7,Labour,0,Hayes and Harlington,London,England,Borough,72357,60.80130464,21.05059781
John Nicolson,MrJohnNicolson,2327654917,0,60,3,SNP,0,Ochil and South Perthshire,Scotland,Scotland,County,78776,73.38910328,7.780257036
John Penrose,JohnPenroseNews,158315486,0,57,5,Conservative,1,Weston-super-Mare,South West,England,County,82526,67.38967113,30.78541374
John Redwood,johnredwood,93880122,0,70,9,Conservative,1,Wokingham,South East,England,County,83953,73.84727169,11.90864074
John Spellar,spellar,21736214,0,74,11,Labour,0,Warley,West Midlands,England,Borough,62357,59.71903716,30.91114155
John Stevenson,John4Carlisle,222419520,0,58,4,Conservative,1,Carlisle,North West,England,County,65105,65.85208509,19.40382059
John Whittingdale,JWhittingdale,129569947,0,62,8,Conservative,1,Maldon,East,England,County,72438,69.58778542,59.5956991
Johnny McNally,JohnMcNallySNP,3037079585,0,70,3,SNP,0,Falkirk,Scotland,Scotland,County,84472,66.14262714,26.75400916
Johnny Mercer,JohnnyMercerUK,97402576,0,40,3,Conservative,1,"Plymouth, Moor View",South West,England,Borough,69430,63.71741322,29.15300979
Jon Cruddas,JonCruddas_1,499781930,0,59,6,Labour,0,Dagenham and Rainham,London,England,Borough,71045,61.55957492,0.669943981
Jon Trickett,jon_trickett,191807697,0,71,8,Labour,0,Hemsworth,Yorkshire and The Humber,England,County,73726,59.55429564,2.687498577
Jonathan Ashworth,JonAshworth,143212610,0,43,4,Labour,0,Leicester South,East Midlands,England,Borough,77708,64.53260926,45.21706184
Jonathan Djanogly,JDjanogly,131120978,0,56,6,Conservative,1,Huntingdon,East,England,County,84657,69.86663832,32.77089286
Jonathan Edwards,,,0,45,4,PC,0,Carmarthen East and Dinefwr,Wales,Wales,County,57419,71.40841882,4.411979903
Jonathan Gullis,,,0,31,1,Conservative,1,Stoke-On-Trent North,West Midlands,England,Borough,68298,58.76306773,15.66253052
Jonathan Lord,JonathanLord,2787943494,0,59,4,Conservative,1,Woking,South East,England,County,75424,71.51172041,18.10816323
Jonathan Reynolds,jreynoldsMP,18632946,0,41,4,Labour,0,Stalybridge and Hyde,North West,England,County,73064,57.98751779,6.953361027
Joy Morrissey,joymorrissey,536479831,1,40,1,Conservative,1,Beaconsfield,South East,England,County,77720,74.45702522,27.15144812
Judith Cummins,JudithCummins,401568431,1,54,3,Labour,0,Bradford South,Yorkshire and The Humber,England,Borough,69046,57.55728065,5.903223371
Julia Lopez,JuliaLopezMP,8.59E+17,1,37,2,Conservative,1,Hornchurch and Upminster,London,England,Borough,80765,66.82845292,43.18375514
Julian Knight,julianknight15,1271714653,0,49,3,Conservative,1,Solihull,West Midlands,England,Borough,78760,70.26917217,38.43777103
Julian Lewis,,,0,70,7,Conservative,1,New Forest East,South East,England,County,73549,69.05056493,49.72039538
Julian Smith,JulianSmithUK,728039018,0,50,4,Conservative,1,Skipton and Ripon,Yorkshire and The Humber,England,County,78347,74.95373148,40.34806893
Julian Sturdy,JulianSturdy,8558522,0,50,4,Conservative,1,York Outer,Yorkshire and The Humber,England,County,74673,74.11915954,18.04072488
Julie Elliott,JulieElliottMP,776022362,1,58,4,Labour,0,Sunderland Central,North East,England,Borough,72680,59.81838195,6.817554513
Julie Marson,JulieMarsonMP,20995745,1,121,1,Conservative,1,Hertford and Stortford,East,England,County,81765,73.49599462,32.64885013
Justin Madders,justinmadders,2999868527,0,49,3,Labour,0,Ellesmere Port and Neston,North West,England,County,70327,69.31335049,17.97891109
Justin Tomlinson,JustinTomlinson,250311545,0,45,4,Conservative,1,North Swindon,South West,England,County,82441,66.85387125,29.34046993
Karen Bradley,,,1,51,4,Conservative,1,Staffordshire Moorlands,West Midlands,England,County,65485,66.66564862,37.63056625
Karen Buck,KarenPBuckMP,259215762,1,63,7,Labour,0,Westminster North,London,England,Borough,65519,65.49397885,25.07282515
Karin Smyth,karinsmyth,485146783,1,57,3,Labour,0,Bristol South,South West,England,Borough,84079,65.64778363,17.86180158
Karl McCartney,karlmccartney,26796376,0,53,4,Conservative,1,Lincoln,East Midlands,England,Borough,74942,67.55757786,6.940686168
Karl Turner,KarlTurnerMP,432396682,0,50,4,Labour,0,Kingston upon Hull East,Yorkshire and The Humber,England,Borough,65745,49.34519735,3.819123359
Kate Green,KateGreenSU,105838665,1,61,4,Labour,0,Stretford and Urmston,North West,England,Borough,72372,69.18006964,32.79006132
Kate Griffiths,,,1,121,1,Conservative,1,Burton,West Midlands,England,County,75036,64.95282265,29.7427059
Kate Hollern,Kate_HollernMP,191074455,1,66,3,Labour,0,Blackburn,North West,England,Borough,71234,62.80147121,40.91559371
Kate Osamor,KateOsamor,415910519,1,53,3,Labour,0,Edmonton,London,England,Borough,65747,61.35793268,39.69906547
Kate Osborne,KateOsborneMP,1.19E+18,1,121,1,Labour,0,Jarrow,North East,England,Borough,65103,62.57161728,17.47839749
Katherine Fletcher,K_Fletcher_MP,2318830022,1,45,1,Conservative,1,South Ribble,North West,England,County,75351,71.37795119,20.8221776
Keir Starmer,Keir_Starmer,2425571623,0,59,3,Labour,0,Holborn and St Pancras,London,England,Borough,86061,65.98343036,48.89057162
Kelly Tolhurst,KellyTolhurst,218789670,1,43,3,Conservative,1,Rochester and Strood,South East,England,County,82056,63.28117383,32.87755652
Kemi Badenoch,KemiBadenoch,4010545737,1,41,2,Conservative,1,Saffron Walden,East,England,County,87017,72.49847731,43.74029103
Kenny MacAskill,KennyMacAskill,240243637,0,63,1,SNP,0,East Lothian,Scotland,Scotland,County,81600,71.70710784,6.641259207
Kerry McCarthy,KerryMP,18099795,1,56,5,Labour,0,Bristol East,South West,England,Borough,73867,70.60527705,20.69639913
Kevan Jones,KevanJonesMP,815306454,0,57,6,Labour,0,North Durham,North East,England,County,66796,63.1699503,11.23829838
Kevin Brennan,KevinBrennanMP,21746513,0,62,6,Labour,0,Cardiff West,Wales,Wales,Borough,68508,67.40380685,23.79106482
Kevin Foster,kevin_j_foster,43865757,0,43,3,Conservative,1,Torbay,South West,England,Borough,75054,67.18629254,35.19811209
Kevin Hollinrake,kevinhollinrake,49619469,0,58,3,Conservative,1,Thirsk and Malton,Yorkshire and The Humber,England,County,80991,69.86949167,44.45112038
Khalid Mahmood,khalid4PB,3030160806,0,60,6,Labour,0,"Birmingham, Perry Barr",West Midlands,England,Borough,72006,58.53262228,36.34185114
Kieran John Mullan,KieranMullanUK,2834640796,0,37,1,Conservative,1,Crewe and Nantwich,North West,England,County,80321,67.27007881,15.74622446
Kim Johnson,KimJohnsonMP,9.19E+17,1,61,1,Labour,0,"Liverpool, Riverside",North West,England,Borough,80310,65.73154028,70.1718161
Kirsten Oswald,kirstenoswald,2707851346,1,49,3,SNP,0,East Renfrewshire,Scotland,Scotland,County,72232,76.63777827,9.801831747
Kirsty Blackman,KirstySNP,2616215901,1,35,3,SNP,0,Aberdeen North,Scotland,Scotland,Borough,62489,59.87133736,33.86523401
Kit Malthouse,kitmalthouse,19407599,0,55,3,Conservative,1,North West Hampshire,South East,England,County,83083,70.91462754,44.65188907
Kwasi Kwarteng,KwasiKwarteng,7.08E+17,0,46,4,Conservative,1,Spelthorne,South East,England,Borough,70929,69.80219656,37.15007069
Laura Farris,Laura__Farris,3240259683,1,43,1,Conservative,1,Newbury,South East,England,County,83414,71.92797372,26.74589153
Laura Trott,,,1,37,1,Conservative,1,Sevenoaks,South East,England,County,71757,71.01188734,40.85485517
Laurence Robertson,lrobertsonTewks,2795272097,0,63,7,Conservative,1,Tewkesbury,South West,England,County,83958,72.82212535,36.65358194
Layla Moran,LaylaMoran,23424533,1,39,2,LibDem,0,Oxford West and Abingdon,South East,England,County,76951,76.44345103,15.20297838
Lee Anderson,LeeAndersonMP,1.42E+18,0,121,1,Conservative,1,Ashfield,East Midlands,England,County,78204,62.63106746,11.70477746
Lee Benjamin Rowley,Lee4NED,1216506050,0,41,2,Conservative,1,North East Derbyshire,East Midlands,England,County,72345,68.03096275,26.1616921
Leo Docherty,LeoDochertyUK,562385310,0,45,2,Conservative,1,Aldershot,South East,England,Borough,72617,66.00658248,34.83685221
Lia Nici,lia_nici,8.64E+17,1,52,1,Conservative,1,Great Grimsby,Yorkshire and The Humber,England,Borough,61409,53.87972447,22.1567383
Liam Byrne,liambyrnemp,27212119,0,51,6,Labour,0,"Birmingham, Hodge Hill",West Midlands,England,Borough,78295,57.4787662,63.67353288
Liam Fox,LiamFox,532241033,0,60,8,Conservative,1,North Somerset,South West,England,County,80194,77.38110083,28.25880268
Lilian Greenwood,LilianGreenwood,20148039,1,55,4,Labour,0,Nottingham South,East Midlands,England,Borough,79485,60.55733786,26.11044168
Lindsay Hoyle,LindsayHoyle_MP,609096352,0,64,7,Speaker,0,Chorley,North West,England,County,77072,51.73084908,43.62177075
Lisa Cameron,DrLisaCameronMP,2801867041,1,49,3,SNP,0,"East Kilbride, Strathaven and Lesmahagow",Scotland,Scotland,County,81224,69.36004137,23.64698156
Lisa Nandy,lisanandy,94701778,1,42,4,Labour,0,Wigan,North West,England,County,75680,59.51638478,14.93716975
Liz Kendall,leicesterliz,105800463,1,50,4,Labour,0,Leicester West,East Midlands,England,Borough,64940,53.54943024,12.11214953
Liz Saville Roberts,LSRPlaid,2350624098,1,56,3,PC,0,Dwyfor Meirionnydd,Wales,Wales,County,44362,67.46314413,15.83801123
Liz Twist,LizTwistMP,8.58E+17,1,65,2,Labour,0,Blaydon,North East,England,Borough,67853,67.3234787,12.10787855
Lloyd Russell-Moyle,lloyd_rm,38880112,0,35,2,Labour,0,"Brighton, Kemptown",South East,England,Borough,69833,69.49866109,16.60931737
Louise Haigh,LouHaigh,143508762,1,34,3,Labour,0,"Sheffield, Heeley",Yorkshire and The Humber,England,Borough,66940,63.78099791,19.9554983
Lucy Allan,lucyallan,16134235,1,57,3,Conservative,1,Telford,West Midlands,England,Borough,68921,62.13635902,25.54816112
Lucy Frazer,lucyfrazermp,3823970661,1,49,3,Conservative,1,South East Cambridgeshire,East,England,County,86769,74.20276827,17.84577153
Lucy Powell,LucyMPowell,32439211,1,47,4,Labour,0,Manchester Central,North West,England,Borough,92247,56.68368619,55.6312035
Luke Evans,drlukeevans,475138726,0,38,1,Conservative,1,Bosworth,East Midlands,England,County,81542,69.20605332,46.56577828
Luke Hall,LukeHall,4490851456,0,35,3,Conservative,1,Thornbury and Yate,South West,England,County,69492,75.17843781,23.67589916
Luke Pollard,LukePollard,10955042,0,41,2,Labour,0,"Plymouth, Sutton and Devonport",South West,England,Borough,77852,68.30396136,8.945765007
Lyn Brown,lynbrownmp,1478483473,1,61,5,Labour,0,West Ham,London,England,Borough,97947,61.46181098,53.80066445
Maggie Throup,maggie_erewash,1.08E+18,1,64,3,Conservative,1,Erewash,East Midlands,England,County,72523,67.30830219,21.72737329
Marco Longhi,marcolonghi4dn,1.18E+18,0,121,1,Conservative,1,Dudley North,West Midlands,England,Borough,61936,59.22888143,31.4387744
Marcus Fysh,MarcusFysh,1655569938,0,51,3,Conservative,1,Yeovil,South West,England,County,82468,71.85817529,27.30509619
Marcus Jones,Marcus4Nuneaton,1469686752,0,47,4,Conservative,1,Nuneaton,West Midlands,England,County,70226,64.34938627,29.08608099
Margaret Beckett,,,1,78,12,Labour,0,Derby South,East Midlands,England,Borough,73062,58.117763,14.17502708
Margaret Ferrier,MargaretFerrier,3001829008,1,61,3,Independent,0,Rutherglen and Hamilton West,Scotland,Scotland,Borough,80918,66.47964606,9.72227386
Margaret Greenwood,MGreenwoodWW,1464467370,1,62,3,Labour,0,Wirral West,North West,England,County,55550,77.26012601,6.997064169
Margaret Hodge,margarethodge,111411358,1,77,8,Labour,0,Barking,London,England,Borough,77953,57.08439701,34.66819479
Maria Caulfield,mariacaulfield,207697553,1,48,3,Conservative,1,Lewes,South East,England,County,71503,76.71146665,4.47940785
Maria Eagle,meaglemp,192935794,1,60,7,Labour,0,Garston and Halewood,North West,England,Borough,76116,70.05885753,59.30315418
Maria Miller,MariaMillerUK,830775721,1,57,5,Conservative,1,Basingstoke,South East,England,Borough,82928,65.97650974,25.94995705
Marie Rimmer,MarieRimmer,2350948635,1,74,3,Labour,0,St Helens South and Whiston,North West,England,Borough,79061,63.63820341,38.00608193
Marion Fellows,marionfellows,79550633,1,72,3,SNP,0,Motherwell and Wishaw,Scotland,Scotland,Borough,68856,64.51144417,14.11076092
Mark Eastwood,mark4dewsbury,1154951216,0,121,1,Conservative,1,Dewsbury,Yorkshire and The Humber,England,County,81253,69.39928372,2.768270407
Mark Fletcher,,,0,36,1,Conservative,1,Bolsover,East Midlands,England,County,74292,61.83438324,11.53511254
Mark Francois,,,0,56,6,Conservative,1,Rayleigh and Wickford,East,England,County,78930,69.55656911,56.46527386
Mark Garnier,Mark4WyreForest,20226550,0,58,4,Conservative,1,Wyre Forest,West Midlands,England,County,78077,64.75786723,42.35082376
Mark Harper,Mark_J_Harper,429751008,0,51,5,Conservative,1,Forest of Dean,South West,England,County,71438,72.05548868,30.82855755
Mark Hendrick,MpHendrick,1302003805,0,63,7,Labour,0,Preston,North West,England,Borough,59672,56.62622335,35.94554602
Mark Jenkinson,markjenkinsonmp,116228328,0,39,1,Conservative,1,Workington,North West,England,County,61370,67.78393352,10.03870285
Mark Logan,,,0,121,1,Conservative,1,Bolton North East,North West,England,Borough,67564,64.46628382,0.867848287
Mark Menzies,,,0,50,4,Conservative,1,Fylde,North West,England,County,66847,69.79969183,35.60084871
Mark Pawsey,MarkPawsey,52412027,0,64,4,Conservative,1,Rugby,West Midlands,England,County,72292,70.28993526,26.46317944
Mark Pritchard,MPritchardUK,804596460,0,55,5,Conservative,1,The Wrekin,West Midlands,England,County,70693,69.15819105,38.30231131
Mark Spencer,Mark_Spencer,154943205,0,51,4,Conservative,1,Sherwood,East Midlands,England,County,77888,67.67281224,30.7082282
Mark Tami,MarkTamiMP,2278921206,0,59,6,Labour,0,Alyn and Deeside,Wales,Wales,County,62789,68.49607415,0.495256696
Marsha de Cordova,MarshadeCordova,189280488,1,45,2,Labour,0,Battersea,London,England,Borough,79350,75.58538122,9.450289278
Martin Docherty-Hughes,MartinJDocherty,24909650,0,50,3,SNP,0,West Dunbartonshire,Scotland,Scotland,County,66517,67.86235098,21.16304829
Martin Vickers,MartinVickers,831250927,0,71,4,Conservative,1,Cleethorpes,Yorkshire and The Humber,England,County,73689,62.88455536,46.22024644
Martyn Day,MartynDaySNP,92091625,0,50,3,SNP,0,Linlithgow and East Falkirk,Scotland,Scotland,County,87044,66.37447728,19.49978364
Mary Foy,marykfoy,1858780626,1,53,1,Labour,0,City of Durham,North East,England,County,71271,68.55382975,10.28469678
Mary Glindon,GlindonMary,1.19E+18,1,64,4,Labour,0,North Tyneside,North East,England,Borough,78902,63.91346227,18.95932896
